i,latency_ms,action_left,action_right
172,0.01931,-150.86281,-175.56358
173,0.019753,-107.05702,-149.04306
174,0.019016,-64.06355,-126.16258
175,0.01915,-71.20459,-131.7363
176,0.019381,-120.96339,-173.31808
177,0.019196,-180.79831,-153.27888
178,0.019705,-107.91211,-142.34293
179,0.018783,-113.95255,-138.33821
180,0.018555,-115.907036,-161.21909
181,0.019928,-168.68591,-193.24854
182,0.018983,-127.73153,-163.07361
183,0.019127,-39.10412,-129.47136
184,0.01962,-66.70998,-117.593285
185,0.019529,-136.51212,-194.81418
186,0.019167,-178.45305,-158.67892
187,0.019459,-72.97619,-115.45072
188,0.01927,-180.70042,-145.11853
189,0.01912,-180.84442,-151.44267
190,0.01956,-83.593346,-136.31886
191,0.019067,-121.348206,-157.44724
192,0.018434,-91.35199,-99.532616
193,0.018306,-93.752846,-68.36105
194,0.018178,-33.278736,-59.829506
195,0.018569,-100.53821,-109.122375
196,0.018759,-87.3144,-71.07227
197,0.01832,-113.92595,-114.64643
198,0.018335,-119.35029,-94.545
199,0.018354,-72.04447,-21.695372
200,0.018029,-84.62135,-100.126884
201,0.018257,-7.6346006,-16.146772
202,0.018326,-105.16604,-106.54383
203,0.0181,-83.747406,-68.55436
204,0.018028,-96.36542,-69.30968
205,0.017924,-30.976606,-47.60837
206,0.01818,-49.81781,-51.169197
207,0.018253,-68.43036,-24.219372
208,0.018569,-48.740555,0.68919957
209,0.018056,10.388192,6.2295322
210,0.018065,-49.27904,-34.08282
211,0.017915,-63.107456,-111.93598
212,0.018357,36.202526,32.479908
213,0.017928,-85.01716,-116.724266
214,0.018118,-89.04744,-99.24883
215,0.018263,-84.0842,-119.00341
216,0.018034,-90.55561,-96.89692
217,0.017756,-47.9723,9.203192
218,0.017882,-106.87222,-107.43287
219,0.021436,-60.329895,-24.828245
220,0.018653,-93.49976,-109.26866
221,0.018618,-13.132817,-0.7112472
222,0.018442,-13.652837,-12.773693
223,0.017792,-68.39653,-106.68432
224,0.018282,-98.9845,-58.301884
225,0.018113,-89.56319,-62.563187
226,0.019107,-45.034115,-33.870632
227,0.018555,-98.98793,-115.39283
